Metabolite,Compound_ID_X01,Original_Metabolite_Name,HMDB_ID,Known_Compound,Included_X01,Included_Pilot,Included_MESA2,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
C8_QI1082,QI1082,NA,,0,1,1,1,C8,0,76.22685166446408,513,0.34509803921568627,0.3916148352914075,0.46511627906976744,0.38612851522657726
C8_QI10250,QI10250,NA,,0,1,1,1,C8,0,9.162659757760002,514,0.4549019607843137,0.783229670582815,0.19933554817275745,0.5026956141629025
C8_QI2759,QI2759,NA,,0,1,1,1,C8,0,34.72872560846333,514,0.2980392156862745,0.3916148352914075,0.23255813953488372,0.31327407839137406
C8_QI8833,QI8833,NA,,0,1,1,1,C8,0,14.13354705153779,514,0.3764705882352941,0.4376871688551025,0.132890365448505,0.34241585312545536
C8_QI2623,QI2623,NA,,0,1,1,1,C8,0,13.391443405455075,514,0.5019607843137255,0.598940336328035,0.09966777408637872,0.44441206469473993
C8_Piperine,QI606,Piperine,HMDB0029377,1,1,1,1,C8,1,4.076736016643188,514,0.4705882352941176,0.6680488366735775,0.16611295681063123,0.46626839574530093
C8_QI2984,QI2984,NA,,0,1,1,1,C8,0,9.672240801453007,514,0.39215686274509803,0.5759041695461875,0.132890365448505,0.3934139589100976
C8_PC.29.0,QI9073,PC 29:0,HMDB0007932,1,1,1,1,C8,1,8.554543363861141,514,0.580392156862745,0.691085003455425,0.23255813953488372,0.5391228325805042
C8_TG.40.0,QI7609,TG 40:0,HMDB0099325,1,1,1,1,C8,1,5.756463947420986,514,0.3137254901960784,0.3916148352914075,0.16611295681063123,0.30598863470785376
C8_QI7283,QI7283,NA,,0,1,1,1,C8,0,7.28447242041605,514,0.7058823529411765,1.0366275051831375,0.6644518272425249,0.8013988051872358
C8_PC.30.2,QI3038,PC 30:2,HMDB0007903,1,1,1,1,C8,1,8.19790701709266,514,0.7529411764705882,1.0366275051831375,0.23255813953488372,0.7285443683520326
C8_LPE.20.3.0.0,QI10099,LPE 20:3/0:0,HMDB0011516,1,1,1,1,C8,1,13.97315104363743,514,0.5333333333333333,0.5759041695461875,0.132890365448505,0.4589829520617806
C8_TG.53.7,QI4982,TG 53:7,HMDB0048455,1,1,1,1,C8,1,11.329628262809493,514,0.4549019607843137,0.82930200414651,0.3654485049833887,0.5536937199475448
C8_QI9095,QI9095,NA,,0,1,1,1,C8,0,25.4429433560995,512,0.4392156862745098,0.6219765031098825,0.6976744186046512,0.5536937199475448
C8_QI4127,QI4127,NA,,0,1,1,1,C8,0,27.742986746270393,513,0.34509803921568627,0.55286800276434,0.8637873754152824,0.5245519452134635
C8_QI4586,QI4586,NA,,0,1,1,1,C8,0,14.234255518384673,514,1.0823529411764705,3.50149735084082,0.3654485049833887,1.6902229345767155
C8_QI3026,QI3026,NA,,0,1,1,1,C8,0,7.790486647585218,514,0.6901960784313725,0.875374337710205,0.23255813953488372,0.6484044878333091
C8_QI4910,QI4910,NA,,0,1,1,1,C8,0,13.115345601222447,514,0.7215686274509804,0.9675190048375951,0.5647840531561462,0.7649715867696343
HILIC_QI07272,QI07272,NA,,0,1,1,1,HILIC,1,14.186357518516271,535,0.4392156862745098,0.09214466712739,0.132890365448505,0.26227597260673174
HILIC_QI13888,QI13888,NA,,0,1,1,1,HILIC,1,18.616986534515636,535,0.39215686274509803,0.3916148352914075,0.4983388704318937,0.41527028996065857
HILIC_QI16207,QI16207,NA,,0,1,1,1,HILIC,1,9.36192817311922,535,0.40784313725490196,0.783229670582815,0.4983388704318937,0.5464082762640244
C8_TG.58.1,QI6046,TG 58:1,HMDB0043925,1,1,1,1,C8,1,7.2191660454288415,514,0.9882352941176471,1.243953006219765,0.09966777408637872,0.8742532420224393
C8_QI5140,QI5140,NA,,0,1,1,1,C8,0,12.233065435885731,514,0.48627450980392156,0.64501266989173,0.6644518272425249,0.5755500509981057
C8_QI7482,QI7482,NA,,0,1,1,1,C8,0,11.05516731072582,514,0.9725490196078431,1.2669891730016125,0.29900332225913623,0.9179659041235612
C8_QI7801,QI7801,NA,,0,1,1,1,C8,0,11.322237613065113,514,0.8784313725490196,1.19788067265607,0.132890365448505,0.8159696925542765
C8_QI4208,QI4208,NA,,0,1,1,1,C8,0,9.239045739298657,514,0.8941176470588236,1.65860400829302,0.4318936877076412,1.0345330030598863
C8_QI4906,QI4906,NA,,0,1,1,1,C8,0,9.705502057620881,514,0.6901960784313725,1.9350380096751902,1.0963455149501662,1.1729564330467726
C18_X15R.15.methyl.PGA2..iSTD.,QI57543,15R-15-methyl PGA2 [iSTD],internal standard,1,1,1,1,C18,1,2.355969100517057,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Capric.acid,QI12974,Capric acid,HMDB0000511,1,1,1,1,C18,1,5.511119356529478,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Lauric.acid,QI17091,Lauric acid,HMDB0000638,1,1,1,1,C18,1,5.6807311454312375,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Tridecylic.acid,QI18926,Tridecylic acid,HMDB0000910,1,1,1,1,C18,1,7.584243103369308,503,0.32941176470588235,0.5759041695461875,0.03322259136212625,0.34241585312545536
C18_Myristic.acid,QI20432,Myristic acid,HMDB0000806,1,1,1,1,C18,1,7.352564047759262,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Pentadecylic.acid,QI21922,Pentadecylic acid,HMDB0000826,1,1,1,1,C18,1,7.961195861313438,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Palmitic.acid,QI23348,Palmitic acid,HMDB0000220,1,1,1,1,C18,1,6.797696093044453,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Margaric.acid,QI24814,Margaric acid,HMDB0002259,1,1,1,1,C18,1,8.92817159184676,503,0.32941176470588235,0.598940336328035,0,0.34241585312545536
C18_Stearic.acid,TF06,Stearic acid,HMDB0000827,1,1,1,1,C18,1,6.777946002971258,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Nonadecylic.acid,QI28366,Nonadecylic acid,HMDB0000772,1,1,1,1,C18,1,8.655351506929344,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Arachidic.acid,QI30160,Arachidic acid,HMDB0002212,1,1,1,1,C18,1,9.038816455295086,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X3.decenoic.acid,TF08,3-decenoic acid,HMDB0031002,1,1,1,1,C18,1,8.256283147451581,503,0.32941176470588235,0.64501266989173,0.26578073089701,0.41527028996065857
C18_X10.Hendecenoic.acid,QI12747,10-Hendecenoic acid,HMDB0033724,1,1,1,1,C18,1,4.991503017961449,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X5.Dodecenoic.acid,QI15003,5-Dodecenoic acid,HMDB0000529,1,1,1,1,C18,1,5.945328666826925,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Myristoleic.acid,QI18198,Myristoleic acid,HMDB0002000,1,1,1,1,C18,1,6.127799277016883,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X10.Pentadecenoic.acid,QI19630,10-Pentadecenoic acid,NA,1,1,1,1,C18,1,8.706430016771474,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Palmitoleic.acid,QI21032,Palmitoleic acid,HMDB0003229,1,1,1,1,C18,1,6.61145547944544,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X10Z.Heptadecenoic.acid,QI22441,10Z-Heptadecenoic acid,HMDB0060038,1,1,1,1,C18,1,7.311874491977297,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
