Metabolite,PC1,Assay,Known,cv_percent,n_pools,missing_exam_1,missing_exam_5,missing_exam_6,missing_all_exams
HILIC_QI09960,-0.0014096207883869337,HILIC,1,12.82594874888815,535,0.09411764705882353,0.09214466712739,0.3654485049833887,0.15299431735392688
HILIC_QI18097,-0.0014012325164973404,HILIC,1,6.461853543981816,535,0.12549019607843137,0.0691085003455425,0.03322259136212625,0.08742532420224391
C18_QI13569,-0.0013903864453937635,C18,0,4.576258290584564,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
HILIC_QI12701,-0.0013873322050265426,HILIC,1,23.269774404952877,534,0.0784313725490196,0.2073255010366275,0.132890365448505,0.13113798630336587
C18_QI53774,-0.0013865092489815122,C18,0,4.381051378220578,503,0.32941176470588235,0.598940336328035,0,0.34241585312545536
C18_QI3666,-0.001385899962757274,C18,0,8.012156754246716,503,0.34509803921568627,0.64501266989173,0,0.3642721841760163
C18_QI45554,-0.0013852420657984657,C18,0,4.9993825274860075,503,0.32941176470588235,0.598940336328035,0,0.34241585312545536
HILIC_QI07272,-0.0013826659894112011,HILIC,1,14.186357518516271,535,0.4392156862745098,0.09214466712739,0.132890365448505,0.26227597260673174
C18_QI43827,-0.0013806894493779912,C18,0,4.315649315112821,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
HILIC_Citrulline,-0.0013801559406777346,HILIC,1,2.3472598901254127,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
C18_QI51126,-0.001378128012269269,C18,0,6.09506671695683,503,0.34509803921568627,0.5759041695461875,0,0.34241585312545536
HILIC_CAR.10.0,-0.001372920208112687,HILIC,1,2.4764601113577167,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
C18_X2.Hydroxystearic.acid,-0.001372462298537013,C18,1,10.212999720695402,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_QI4197,-0.0013657857607824561,C18,0,10.404353673282817,503,0.34509803921568627,0.6219765031098825,0,0.356986740492496
HILIC_QI06600,-0.0013598274801921793,HILIC,1,9.72290135728894,535,0.047058823529411764,0.11518083390923751,0.03322259136212625,0.06556899315168294
C18_QI3914,-0.0013568864189688354,C18,0,15.23720532995413,503,0.4392156862745098,0.8062658373646624,0.09966777408637872,0.4808392831123416
C18_QI53770,-0.0013484156566519385,C18,0,3.6138355546661804,503,0.32941176470588235,0.598940336328035,0,0.34241585312545536
C18_QI10183,-0.0013478324565922403,C18,0,8.644975856747994,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_QI6772,-0.0013443251183162378,C18,0,13.501815335048015,503,0.34509803921568627,0.64501266989173,0.16611295681063123,0.4006994025936179
C18_QI51532,-0.0013438668809225775,C18,0,3.927974450702856,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_QI4167,-0.001343277088899626,C18,0,20.53321729327347,503,0.40784313725490196,0.64501266989173,0.0664451827242525,0.40798484627713827
C18_QI45978,-0.0013409410698427943,C18,0,4.1692099978845985,503,0.32941176470588235,0.598940336328035,0,0.34241585312545536
HILIC_Glu.Gln,-0.0013360987682588523,HILIC,1,4.937558930724473,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
HILIC_QI19608,-0.0013358406620887571,HILIC,1,16.066672128723127,535,0.06274509803921569,0.0691085003455425,0.0664451827242525,0.06556899315168294
C18_QI1466,-0.0013342281330755803,C18,0,28.242969340989383,503,0.3764705882352941,0.6219765031098825,0,0.3715576278595366
C18_QI44575,-0.0013265069521454825,C18,0,5.372856468137755,503,0.3607843137254902,0.598940336328035,0.0664451827242525,0.3715576278595366
C18_QI5019,-0.0013250046691007861,C18,0,21.709240387930972,502,0.4235294117647058,1.888965676111495,1.1295681063122924,1.0418184467434066
C18_QI2188,-0.0013181473679148327,C18,0,11.211760530137784,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_Azelaic.acid,-0.0013150712984126669,C18,1,9.864392940820421,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
HILIC_CAR.6.0.OH,-0.001309916002866697,HILIC,1,6.37492242452158,535,0.0784313725490196,0.09214466712739,0.0664451827242525,0.08013988051872359
C18_QI47391,-0.0013023415857759497,C18,0,6.027090747869538,503,0.32941176470588235,0.598940336328035,0,0.34241585312545536
HILIC_QI16744,-0.001297121071475943,HILIC,1,24.07160146362843,535,0.06274509803921569,0.11518083390923751,0,0.06556899315168294
C18_QI21464,-0.0012941836582170405,C18,0,14.499376200499256,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
HILIC_QI04350,-0.0012924384106546658,HILIC,1,78.01586796927383,534,0.1411764705882353,0.2073255010366275,0.03322259136212625,0.1384234299868862
HILIC_CAR.4.0,-0.0012915136682371225,HILIC,1,2.3233777486128417,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
C18_QI4087,-0.0012895165621737573,C18,0,4.3348278242678315,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_X12.HETE,-0.0012859050558749225,C18,1,10.231077951472976,503,0.3764705882352941,0.7141211702372725,0,0.4006994025936179
Amide_Glyceric.acid,-0.001282505676438308,Amide,1,6.548654480276568,286,0.10980392156862745,0.0691085003455425,0.03322259136212625,0.08013988051872359
C18_QI2922,-0.0012793096924798486,C18,0,48.27644722835454,503,0.4392156862745098,0.598940336328035,0.09966777408637872,0.41527028996065857
HILIC_Glutamine,-0.001277334406357496,HILIC,1,1.732910862870719,535,0.047058823529411764,0.0691085003455425,0,0.04371266210112196
C18_QI1993,-0.0012760071542344833,C18,0,16.805491513887507,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_QI2030,-0.0012756654136172468,C18,0,4.968633018383111,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_QI51932,-0.001272253153460846,C18,0,8.885743200579482,503,0.3607843137254902,0.5759041695461875,0,0.34970129680897566
C18_QI3653,-0.0012721840076878274,C18,0,6.161117310036663,503,0.39215686274509803,0.64501266989173,0.03322259136212625,0.3934139589100976
C18_QI5065,-0.001271695474367519,C18,0,6.204907898119788,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_QI2263,-0.0012624386514858937,C18,0,7.743805530620238,503,0.32941176470588235,0.5759041695461875,0,0.335130409441935
C18_QI45984,-0.0012580457722315198,C18,0,5.876852720694699,503,0.39215686274509803,0.6219765031098825,0,0.37884307154305696
